LSOA21CD,AHAH_Index_Score,AHAH_Index_Rank,AHAH_Index_Percentile
E01000225,32.4788,37783,89
E01000226,23.7146,28474,67
E01000227,33.1699,38193,90
E01000228,18.127,17045,40
E01000229,19.0275,19124,45
E01000230,21.1405,23676,56
E01000231,22.8582,26902,64
E01000232,26.8534,32877,78
E01000233,33.9391,38591,91
E01000234,27.5416,33681,79
E01000235,31.1409,36844,87
E01000236,32.272,37623,89
E01000237,40.4873,41027,97
E01000238,32.5972,37848,89
E01000239,28.7166,34868,82
E01000240,28.5001,34648,82
E01000241,22.7842,26780,63
E01000242,27.0936,33181,78
E01000243,45.5967,41902,99
E01000244,37.4594,40113,95
E01000245,48.735,42214,99
E01000246,16.8327,13852,33
E01000247,17.5783,15721,37
E01000248,33.699,38467,91
E01000249,22.1688,25702,61
E01000250,39.4821,40742,96
E01000251,22.4244,26161,62
E01000252,16.5878,13288,32
E01000253,21.2898,23984,57
E01000254,19.246,19634,47
E01000255,23.4255,27965,66
E01000256,22.1774,25724,61
E01000257,35.7121,39439,93
E01000258,39.8348,40850,96
E01000259,34.3941,38838,92
E01000260,28.0844,34231,81
E01000261,20.6545,22643,54
E01000263,21.4915,24372,58
E01000264,39.0424,40626,96
E01000265,33.9802,38612,91
E01000266,23.2419,27636,65
E01000267,19.0253,19120,45
E01000268,22.7433,26723,63
E01000269,23.5709,28207,67
E01000270,18.1018,16987,40
E01000271,19.2525,19647,47
E01000272,18.501,17914,43
E01000273,28.3343,34492,81
E01000274,24.7192,30012,71
E01000275,21.2688,23928,57
E01000276,27.5119,33645,79
E01000277,33.5922,38419,91
E01000278,30.5476,36381,86
E01000279,19.7495,20731,49
E01000280,19.0304,19126,45
E01000281,49.0021,42232,100
E01000282,22.2604,25865,61
E01000283,23.4626,28038,66
E01000284,24.4944,29669,70
E01000285,21.314,24028,57
E01000286,21.7484,24881,59
E01000287,20.3399,21963,52
E01000288,21.0758,23528,56
E01000289,19.9995,21274,50
E01000290,20.1659,21588,51
E01000291,21.65,24685,58
E01000292,18.6154,18184,43
E01000293,28.338,34499,81
E01000294,21.4748,24329,58
E01000295,37.8746,40254,95
E01000296,45.8166,41930,99
E01000297,41.5291,41260,97
E01000298,50.3629,42323,100
E01000299,51.4401,42382,100
E01000300,35.1634,39193,92
E01000301,29.6986,35751,84
E01000302,34.0156,38632,91
E01000303,29.9922,35983,85
E01000304,30.334,36224,85
E01000305,32.8551,37997,90
E01000306,29.2794,35402,84
E01000307,28.1834,34334,81
E01000308,31.6424,37203,88
E01000309,27.4271,33560,79
E01000310,36.3982,39734,94
