area,chn1997,chn1998,chn1999,chn2000,chn2001,chn2002,chn2003,chn2004,chn2005,chn2006,chn2007,chn2008,chn2009,chn2010,chn2011,chn2012,chn2013,chn2014,chn2015,chn2016,chn2017,chn2018,chn2019,chn2020,chn2021,chn2022,chn2023
E08000031,0.614,0.602,0.584,0.571,0.556,0.534,0.513,0.494,0.476,0.458,0.443,0.429,0.414,0.398,0.377,0.346,0.318,0.301,0.281,0.260,0.225,0.177,0.148,0.128,0.099,0.065,0
E08000032,0.663,0.650,0.632,0.617,0.598,0.567,0.538,0.513,0.490,0.465,0.443,0.424,0.404,0.384,0.361,0.329,0.300,0.283,0.265,0.245,0.215,0.172,0.144,0.127,0.098,0.061,0
E08000033,0.684,0.674,0.666,0.661,0.646,0.624,0.607,0.590,0.574,0.557,0.542,0.526,0.507,0.486,0.464,0.438,0.415,0.399,0.380,0.357,0.318,0.268,0.238,0.209,0.160,0.104,0
E08000034,0.679,0.665,0.637,0.609,0.583,0.554,0.531,0.511,0.490,0.469,0.448,0.427,0.403,0.378,0.348,0.313,0.283,0.267,0.251,0.234,0.205,0.165,0.140,0.123,0.096,0.061,0
E08000035,0.671,0.657,0.639,0.623,0.605,0.581,0.559,0.539,0.521,0.502,0.484,0.463,0.441,0.416,0.388,0.353,0.322,0.305,0.287,0.268,0.238,0.196,0.169,0.145,0.109,0.069,0
E08000036,0.649,0.636,0.618,0.605,0.587,0.561,0.540,0.523,0.507,0.490,0.474,0.458,0.440,0.425,0.402,0.368,0.341,0.325,0.308,0.292,0.267,0.230,0.202,0.177,0.158,0.127,0
E08000037,0.635,0.622,0.605,0.593,0.576,0.553,0.535,0.518,0.500,0.479,0.461,0.442,0.418,0.396,0.376,0.353,0.331,0.316,0.296,0.273,0.243,0.202,0.174,0.156,0.124,0.081,0
E09000001,0.831,0.820,0.808,0.799,0.787,0.773,0.758,0.743,0.728,0.710,0.694,0.683,0.670,0.659,0.648,0.618,0.581,0.560,0.541,0.524,0.495,0.443,0.405,0.357,0.254,0.146,0
E09000002,0.826,0.774,0.745,0.729,0.713,0.690,0.669,0.646,0.623,0.600,0.578,0.556,0.533,0.508,0.477,0.440,0.408,0.387,0.360,0.331,0.287,0.225,0.185,0.160,0.125,0.083,0
E09000003,0.745,0.734,0.721,0.711,0.699,0.681,0.663,0.644,0.626,0.606,0.588,0.565,0.539,0.519,0.495,0.455,0.418,0.399,0.379,0.360,0.326,0.272,0.236,0.213,0.168,0.109,0
E09000004,0.669,0.656,0.638,0.626,0.609,0.584,0.562,0.542,0.521,0.499,0.480,0.460,0.437,0.419,0.397,0.359,0.323,0.305,0.286,0.266,0.235,0.192,0.163,0.143,0.112,0.075,0
E09000005,0.742,0.733,0.721,0.709,0.695,0.677,0.658,0.640,0.620,0.600,0.580,0.562,0.544,0.528,0.509,0.476,0.444,0.427,0.407,0.387,0.353,0.305,0.274,0.247,0.192,0.122,0
E09000006,0.720,0.707,0.691,0.679,0.665,0.645,0.626,0.606,0.587,0.567,0.550,0.533,0.512,0.496,0.480,0.442,0.398,0.375,0.352,0.329,0.293,0.242,0.209,0.185,0.143,0.091,0
E09000007,0.776,0.761,0.742,0.726,0.712,0.696,0.679,0.660,0.640,0.621,0.602,0.583,0.562,0.543,0.520,0.480,0.442,0.423,0.408,0.396,0.365,0.319,0.293,0.264,0.201,0.127,0
E09000008,0.726,0.713,0.695,0.682,0.666,0.643,0.622,0.602,0.583,0.563,0.545,0.525,0.503,0.484,0.464,0.428,0.389,0.369,0.351,0.335,0.297,0.239,0.202,0.179,0.142,0.092,0
E09000009,0.775,0.764,0.751,0.742,0.731,0.717,0.706,0.694,0.683,0.670,0.659,0.643,0.614,0.585,0.559,0.529,0.499,0.478,0.455,0.430,0.387,0.325,0.282,0.252,0.197,0.128,0
E09000010,0.735,0.725,0.710,0.699,0.686,0.666,0.647,0.627,0.607,0.586,0.564,0.541,0.513,0.490,0.465,0.425,0.387,0.367,0.348,0.329,0.292,0.233,0.195,0.171,0.131,0.082,0
E09000011,0.756,0.743,0.727,0.714,0.699,0.679,0.659,0.638,0.616,0.594,0.574,0.552,0.527,0.506,0.480,0.434,0.391,0.368,0.347,0.328,0.297,0.256,0.230,0.206,0.168,0.117,0
E09000012,0.762,0.743,0.722,0.707,0.693,0.674,0.657,0.639,0.620,0.601,0.582,0.560,0.536,0.516,0.487,0.434,0.388,0.365,0.345,0.326,0.290,0.238,0.206,0.188,0.148,0.093,0
E09000013,0.822,0.808,0.793,0.779,0.763,0.747,0.733,0.717,0.702,0.687,0.671,0.654,0.634,0.616,0.594,0.562,0.532,0.513,0.492,0.473,0.432,0.367,0.324,0.298,0.281,0.230,0
E09000014,0.722,0.709,0.693,0.678,0.659,0.635,0.614,0.592,0.570,0.547,0.526,0.506,0.485,0.466,0.445,0.415,0.387,0.371,0.354,0.339,0.308,0.260,0.230,0.211,0.173,0.117,0
E09000015,0.688,0.676,0.659,0.646,0.629,0.606,0.585,0.564,0.545,0.523,0.504,0.485,0.465,0.449,0.430,0.397,0.364,0.347,0.329,0.310,0.272,0.215,0.177,0.155,0.120,0.076,0
E09000016,0.672,0.651,0.633,0.622,0.606,0.582,0.561,0.540,0.518,0.497,0.477,0.458,0.438,0.419,0.395,0.361,0.331,0.313,0.293,0.272,0.240,0.196,0.167,0.146,0.112,0.071,0
E09000017,0.714,0.699,0.682,0.669,0.655,0.634,0.615,0.596,0.577,0.557,0.536,0.512,0.484,0.461,0.439,0.395,0.350,0.329,0.311,0.294,0.262,0.216,0.185,0.164,0.129,0.084,0
E09000018,0.710,0.700,0.686,0.676,0.664,0.647,0.631,0.613,0.592,0.569,0.548,0.526,0.503,0.484,0.461,0.418,0.376,0.355,0.335,0.316,0.282,0.233,0.201,0.179,0.142,0.094,0
E09000019,0.767,0.751,0.735,0.723,0.713,0.699,0.687,0.675,0.660,0.641,0.621,0.599,0.573,0.550,0.519,0.463,0.412,0.389,0.371,0.354,0.316,0.259,0.226,0.205,0.162,0.105,0
E09000020,0.733,0.716,0.694,0.678,0.662,0.638,0.613,0.590,0.568,0.547,0.527,0.507,0.486,0.466,0.446,0.417,0.393,0.377,0.360,0.343,0.308,0.255,0.222,0.199,0.152,0.094,0
E09000021,0.763,0.750,0.736,0.726,0.712,0.694,0.679,0.665,0.650,0.635,0.621,0.607,0.593,0.576,0.550,0.515,0.488,0.473,0.457,0.441,0.408,0.359,0.329,0.300,0.239,0.159,0
E09000022,0.781,0.764,0.749,0.737,0.725,0.711,0.698,0.685,0.672,0.658,0.646,0.633,0.618,0.604,0.587,0.556,0.525,0.506,0.485,0.467,0.431,0.369,0.324,0.295,0.235,0.152,0
E09000023,0.735,0.721,0.705,0.691,0.677,0.656,0.634,0.615,0.598,0.580,0.564,0.546,0.524,0.506,0.486,0.447,0.407,0.385,0.363,0.341,0.308,0.262,0.230,0.208,0.170,0.116,0
E09000024,0.740,0.727,0.710,0.697,0.682,0.662,0.645,0.627,0.609,0.590,0.572,0.554,0.533,0.516,0.497,0.458,0.419,0.397,0.376,0.356,0.322,0.271,0.235,0.214,0.173,0.114,0
E09000025,0.764,0.749,0.733,0.723,0.709,0.689,0.669,0.649,0.628,0.608,0.589,0.569,0.547,0.528,0.507,0.470,0.433,0.413,0.394,0.373,0.335,0.277,0.238,0.213,0.174,0.120,0
E09000026,0.694,0.680,0.663,0.650,0.634,0.612,0.592,0.571,0.548,0.521,0.497,0.473,0.449,0.428,0.406,0.371,0.337,0.318,0.299,0.280,0.250,0.206,0.174,0.154,0.121,0.079,0
E09000027,0.761,0.748,0.732,0.719,0.707,0.690,0.673,0.654,0.636,0.617,0.598,0.577,0.553,0.532,0.514,0.486,0.456,0.438,0.418,0.396,0.358,0.303,0.265,0.240,0.190,0.123,0
E09000028,0.808,0.792,0.776,0.763,0.748,0.730,0.712,0.694,0.676,0.659,0.644,0.628,0.608,0.591,0.571,0.537,0.504,0.482,0.456,0.430,0.387,0.325,0.287,0.262,0.208,0.135,0
E09000029,0.741,0.731,0.718,0.707,0.692,0.674,0.659,0.646,0.631,0.615,0.599,0.582,0.562,0.546,0.529,0.501,0.472,0.453,0.433,0.412,0.372,0.318,0.285,0.255,0.195,0.122,0
E09000030,0.900,0.891,0.881,0.873,0.865,0.854,0.844,0.833,0.823,0.811,0.800,0.790,0.780,0.772,0.762,0.739,0.711,0.690,0.662,0.630,0.581,0.501,0.442,0.405,0.325,0.213,0
E09000031,0.723,0.710,0.691,0.676,0.659,0.635,0.613,0.592,0.571,0.548,0.527,0.505,0.481,0.460,0.432,0.395,0.366,0.349,0.330,0.309,0.278,0.235,0.207,0.186,0.147,0.095,0
E09000032,0.786,0.773,0.757,0.745,0.735,0.723,0.713,0.699,0.684,0.669,0.654,0.636,0.616,0.598,0.576,0.543,0.513,0.497,0.481,0.464,0.431,0.385,0.357,0.325,0.256,0.169,0
E09000033,0.787,0.764,0.737,0.714,0.690,0.662,0.637,0.615,0.593,0.571,0.552,0.534,0.513,0.493,0.471,0.431,0.393,0.373,0.354,0.337,0.302,0.248,0.213,0.193,0.153,0.097,0
N09000001,0.653,0.639,0.621,0.609,0.598,0.580,0.561,0.541,0.521,0.506,0.497,0.485,0.468,0.455,0.446,0.427,0.404,0.390,0.372,0.350,0.321,0.285,0.264,0.253,0.182,0.085,0
N09000002,0.640,0.626,0.607,0.594,0.581,0.562,0.542,0.522,0.503,0.489,0.480,0.470,0.457,0.446,0.433,0.407,0.378,0.360,0.338,0.312,0.282,0.249,0.230,0.220,0.159,0.075,0
N09000003,0.639,0.627,0.612,0.602,0.593,0.579,0.562,0.545,0.527,0.514,0.506,0.494,0.478,0.466,0.454,0.433,0.407,0.389,0.369,0.347,0.318,0.281,0.261,0.249,0.183,0.092,0
N09000004,0.602,0.588,0.571,0.558,0.545,0.524,0.502,0.481,0.462,0.447,0.439,0.429,0.417,0.406,0.395,0.375,0.352,0.338,0.320,0.300,0.272,0.240,0.223,0.214,0.152,0.068,0
N09000005,0.577,0.563,0.546,0.533,0.521,0.503,0.484,0.465,0.447,0.434,0.426,0.412,0.395,0.386,0.375,0.356,0.336,0.321,0.303,0.282,0.255,0.223,0.205,0.196,0.141,0.065,0
N09000006,0.717,0.703,0.687,0.676,0.664,0.648,0.633,0.618,0.605,0.595,0.589,0.578,0.564,0.554,0.539,0.483,0.413,0.374,0.340,0.308,0.275,0.239,0.221,0.210,0.148,0.067,0
N09000007,0.634,0.621,0.605,0.593,0.583,0.568,0.552,0.534,0.516,0.503,0.495,0.480,0.460,0.449,0.437,0.417,0.395,0.381,0.362,0.341,0.312,0.277,0.258,0.248,0.180,0.086,0
N09000008,0.630,0.615,0.597,0.583,0.570,0.551,0.530,0.511,0.492,0.477,0.468,0.454,0.437,0.426,0.415,0.394,0.369,0.353,0.335,0.314,0.287,0.255,0.236,0.225,0.161,0.075,0
N09000009,0.579,0.565,0.548,0.536,0.525,0.508,0.491,0.474,0.459,0.447,0.439,0.428,0.414,0.403,0.391,0.367,0.341,0.325,0.306,0.285,0.253,0.215,0.195,0.185,0.133,0.063,0
N09000010,0.590,0.576,0.558,0.546,0.535,0.517,0.497,0.479,0.462,0.448,0.440,0.431,0.417,0.406,0.393,0.369,0.344,0.328,0.311,0.290,0.261,0.227,0.208,0.199,0.142,0.066,0
N09000011,0.656,0.643,0.626,0.614,0.603,0.586,0.568,0.549,0.531,0.517,0.508,0.493,0.474,0.462,0.452,0.432,0.411,0.399,0.382,0.360,0.330,0.293,0.271,0.258,0.185,0.086,0
S12000005,0.618,0.606,0.588,0.574,0.556,0.530,0.506,0.485,0.466,0.444,0.422,0.402,0.386,0.372,0.353,0.327,0.304,0.288,0.270,0.251,0.221,0.184,0.162,0.141,0.107,0.069,0
S12000006,0.626,0.614,0.596,0.581,0.562,0.538,0.519,0.501,0.484,0.466,0.448,0.430,0.411,0.395,0.368,0.331,0.305,0.289,0.272,0.257,0.227,0.186,0.165,0.144,0.105,0.064,0
S12000008,0.685,0.672,0.656,0.643,0.627,0.605,0.586,0.568,0.550,0.528,0.505,0.484,0.466,0.449,0.427,0.395,0.369,0.355,0.337,0.320,0.286,0.234,0.199,0.173,0.134,0.087,0
S12000010,0.682,0.667,0.649,0.636,0.619,0.595,0.574,0.554,0.533,0.509,0.486,0.466,0.449,0.435,0.416,0.388,0.363,0.346,0.328,0.311,0.275,0.220,0.185,0.159,0.120,0.075,0
S12000011,0.685,0.671,0.651,0.633,0.616,0.597,0.581,0.565,0.550,0.533,0.518,0.502,0.483,0.468,0.449,0.422,0.399,0.384,0.367,0.351,0.329,0.300,0.284,0.263,0.218,0.154,0
S12000013,0.536,0.520,0.500,0.481,0.463,0.444,0.432,0.423,0.416,0.406,0.395,0.383,0.369,0.357,0.327,0.284,0.255,0.240,0.228,0.217,0.183,0.135,0.111,0.094,0.072,0.047,0
S12000014,0.628,0.614,0.595,0.581,0.562,0.537,0.513,0.492,0.473,0.451,0.430,0.411,0.395,0.382,0.363,0.337,0.313,0.296,0.277,0.258,0.227,0.184,0.157,0.137,0.103,0.065,0
S12000017,0.686,0.672,0.652,0.634,0.614,0.592,0.575,0.560,0.544,0.524,0.503,0.482,0.461,0.444,0.414,0.371,0.338,0.319,0.301,0.285,0.247,0.192,0.160,0.139,0.108,0.071,0
S12000018,0.675,0.664,0.650,0.632,0.613,0.595,0.579,0.563,0.548,0.533,0.519,0.501,0.482,0.465,0.443,0.416,0.394,0.379,0.364,0.349,0.306,0.248,0.218,0.190,0.142,0.089,0
S12000019,0.652,0.640,0.624,0.612,0.598,0.578,0.561,0.545,0.529,0.513,0.497,0.481,0.465,0.452,0.435,0.410,0.384,0.366,0.344,0.323,0.286,0.231,0.198,0.172,0.130,0.082,0
S12000020,0.679,0.666,0.648,0.633,0.616,0.594,0.574,0.554,0.534,0.515,0.497,0.479,0.460,0.443,0.414,0.372,0.340,0.321,0.302,0.282,0.246,0.191,0.154,0.134,0.103,0.064,0
S12000021,0.682,0.670,0.654,0.641,0.625,0.603,0.585,0.566,0.545,0.523,0.501,0.481,0.462,0.444,0.421,0.389,0.361,0.345,0.326,0.307,0.274,0.227,0.198,0.174,0.134,0.086,0
S12000023,0.673,0.658,0.636,0.617,0.594,0.568,0.549,0.532,0.518,0.500,0.481,0.463,0.444,0.424,0.392,0.347,0.313,0.294,0.275,0.258,0.215,0.157,0.128,0.112,0.088,0.056,0
S12000026,0.722,0.712,0.695,0.679,0.661,0.639,0.622,0.608,0.593,0.572,0.549,0.531,0.516,0.502,0.481,0.450,0.423,0.406,0.385,0.366,0.324,0.265,0.225,0.196,0.155,0.100,0
S12000027,0.655,0.638,0.614,0.593,0.570,0.547,0.531,0.517,0.503,0.488,0.473,0.457,0.442,0.428,0.402,0.364,0.335,0.319,0.304,0.291,0.244,0.169,0.124,0.104,0.080,0.051,0
S12000028,0.692,0.679,0.663,0.650,0.634,0.613,0.595,0.576,0.558,0.538,0.517,0.499,0.481,0.464,0.440,0.406,0.379,0.362,0.344,0.327,0.292,0.245,0.216,0.190,0.147,0.094,0
S12000029,0.618,0.606,0.590,0.574,0.551,0.522,0.497,0.474,0.451,0.424,0.399,0.380,0.365,0.350,0.327,0.298,0.274,0.260,0.245,0.229,0.202,0.164,0.141,0.124,0.097,0.064,0
S12000030,0.649,0.635,0.616,0.599,0.580,0.555,0.534,0.516,0.500,0.483,0.465,0.447,0.431,0.418,0.396,0.366,0.341,0.322,0.304,0.286,0.254,0.212,0.186,0.165,0.131,0.087,0
S12000033,0.692,0.679,0.663,0.652,0.638,0.618,0.598,0.578,0.561,0.544,0.527,0.509,0.490,0.472,0.448,0.414,0.387,0.371,0.353,0.335,0.302,0.249,0.210,0.185,0.146,0.095,0
S12000034,0.704,0.691,0.673,0.657,0.638,0.614,0.591,0.568,0.545,0.524,0.503,0.481,0.459,0.439,0.404,0.355,0.320,0.300,0.281,0.263,0.231,0.182,0.148,0.128,0.098,0.062,0
S12000035,0.715,0.703,0.682,0.656,0.636,0.612,0.584,0.561,0.540,0.520,0.502,0.485,0.467,0.451,0.422,0.378,0.343,0.322,0.304,0.287,0.240,0.176,0.143,0.124,0.096,0.063,0
S12000036,0.719,0.709,0.697,0.688,0.675,0.656,0.640,0.625,0.610,0.595,0.581,0.568,0.556,0.546,0.533,0.514,0.494,0.480,0.465,0.450,0.400,0.326,0.282,0.251,0.195,0.125,0
S12000038,0.696,0.686,0.671,0.658,0.643,0.626,0.610,0.594,0.578,0.561,0.546,0.529,0.512,0.499,0.484,0.464,0.444,0.431,0.415,0.400,0.360,0.301,0.264,0.230,0.175,0.112,0
S12000039,0.640,0.627,0.610,0.593,0.568,0.538,0.513,0.489,0.467,0.445,0.426,0.407,0.388,0.372,0.351,0.318,0.286,0.267,0.251,0.237,0.201,0.155,0.130,0.113,0.087,0.057,0
S12000040,0.640,0.627,0.608,0.594,0.574,0.548,0.525,0.502,0.480,0.458,0.439,0.421,0.405,0.392,0.377,0.355,0.333,0.317,0.298,0.280,0.247,0.200,0.171,0.149,0.114,0.072,0
S12000041,0.664,0.650,0.632,0.616,0.598,0.571,0.545,0.523,0.502,0.479,0.457,0.436,0.416,0.399,0.370,0.328,0.296,0.277,0.260,0.244,0.204,0.154,0.129,0.110,0.082,0.050,0
S12000042,0.695,0.684,0.669,0.657,0.638,0.611,0.589,0.568,0.548,0.528,0.504,0.480,0.460,0.442,0.421,0.393,0.367,0.351,0.335,0.321,0.278,0.211,0.171,0.150,0.117,0.075,0
S12000045,0.545,0.532,0.515,0.501,0.483,0.460,0.438,0.417,0.397,0.377,0.358,0.342,0.325,0.310,0.292,0.260,0.229,0.211,0.196,0.182,0.162,0.138,0.124,0.113,0.094,0.067,0
S12000047,0.639,0.626,0.606,0.589,0.570,0.545,0.522,0.499,0.476,0.453,0.429,0.407,0.386,0.369,0.348,0.315,0.288,0.274,0.259,0.243,0.215,0.174,0.148,0.129,0.098,0.062,0
S12000048,0.705,0.692,0.674,0.656,0.636,0.610,0.586,0.562,0.539,0.513,0.488,0.466,0.445,0.426,0.395,0.353,0.323,0.305,0.288,0.272,0.232,0.179,0.154,0.132,0.099,0.063,0
S12000049,0.716,0.705,0.690,0.662,0.621,0.588,0.565,0.544,0.521,0.499,0.480,0.460,0.434,0.408,0.382,0.349,0.321,0.305,0.288,0.272,0.247,0.215,0.196,0.176,0.139,0.094,0
S12000050,0.598,0.585,0.567,0.552,0.530,0.499,0.475,0.451,0.428,0.401,0.374,0.354,0.339,0.324,0.304,0.277,0.252,0.238,0.223,0.207,0.181,0.147,0.126,0.110,0.084,0.055,0
W06000001,0.652,0.635,0.613,0.594,0.572,0.546,0.524,0.506,0.490,0.474,0.458,0.439,0.418,0.400,0.372,0.336,0.306,0.288,0.269,0.250,0.216,0.172,0.146,0.122,0.087,0.053,0
W06000002,0.638,0.622,0.602,0.580,0.556,0.533,0.516,0.502,0.490,0.477,0.463,0.448,0.430,0.414,0.381,0.329,0.291,0.271,0.254,0.238,0.202,0.148,0.117,0.101,0.077,0.048,0
W06000003,0.706,0.690,0.668,0.650,0.628,0.600,0.577,0.559,0.543,0.526,0.509,0.493,0.477,0.463,0.442,0.412,0.386,0.368,0.347,0.326,0.285,0.222,0.181,0.157,0.119,0.075,0
W06000004,0.680,0.662,0.641,0.623,0.601,0.573,0.549,0.529,0.508,0.486,0.467,0.450,0.433,0.419,0.393,0.357,0.329,0.313,0.296,0.277,0.242,0.193,0.162,0.143,0.109,0.069,0
W06000005,0.655,0.638,0.616,0.598,0.578,0.553,0.533,0.516,0.499,0.480,0.460,0.442,0.424,0.409,0.391,0.360,0.330,0.313,0.295,0.277,0.241,0.187,0.153,0.131,0.100,0.065,0
W06000006,0.639,0.623,0.601,0.584,0.566,0.543,0.524,0.506,0.487,0.467,0.448,0.429,0.410,0.392,0.372,0.338,0.307,0.293,0.277,0.258,0.227,0.181,0.151,0.133,0.120,0.096,0
W06000008,0.695,0.681,0.658,0.638,0.619,0.596,0.576,0.559,0.543,0.527,0.512,0.499,0.484,0.468,0.438,0.394,0.362,0.344,0.325,0.307,0.269,0.216,0.186,0.165,0.149,0.120,0
W06000009,0.671,0.657,0.636,0.616,0.595,0.571,0.552,0.536,0.521,0.504,0.490,0.476,0.461,0.443,0.407,0.359,0.326,0.308,0.289,0.269,0.231,0.175,0.138,0.118,0.091,0.058,0
W06000010,0.652,0.639,0.618,0.597,0.577,0.556,0.538,0.523,0.509,0.494,0.481,0.464,0.443,0.422,0.390,0.347,0.315,0.298,0.279,0.259,0.223,0.171,0.137,0.119,0.091,0.057,0
W06000011,0.608,0.593,0.572,0.554,0.532,0.504,0.481,0.460,0.441,0.420,0.401,0.382,0.361,0.339,0.313,0.281,0.254,0.241,0.228,0.214,0.191,0.158,0.132,0.110,0.083,0.052,0
W06000012,0.551,0.535,0.514,0.495,0.471,0.440,0.416,0.397,0.380,0.364,0.349,0.334,0.317,0.299,0.277,0.250,0.229,0.217,0.204,0.191,0.166,0.127,0.100,0.086,0.066,0.042,0
W06000013,0.592,0.577,0.557,0.543,0.535,0.524,0.511,0.494,0.473,0.452,0.435,0.412,0.381,0.351,0.318,0.284,0.258,0.244,0.229,0.213,0.186,0.152,0.131,0.112,0.082,0.050,0
W06000014,0.692,0.679,0.661,0.645,0.625,0.598,0.574,0.555,0.537,0.516,0.499,0.483,0.466,0.450,0.425,0.390,0.364,0.349,0.333,0.316,0.281,0.232,0.199,0.176,0.139,0.090,0
W06000015,0.667,0.654,0.635,0.622,0.605,0.582,0.563,0.546,0.530,0.514,0.498,0.483,0.467,0.452,0.435,0.404,0.371,0.354,0.338,0.322,0.294,0.252,0.224,0.205,0.192,0.156,0
W06000016,0.559,0.543,0.525,0.513,0.500,0.479,0.454,0.434,0.417,0.400,0.386,0.369,0.347,0.325,0.304,0.276,0.251,0.238,0.224,0.209,0.183,0.142,0.115,0.101,0.078,0.049,0
W06000018,0.582,0.565,0.543,0.526,0.508,0.484,0.464,0.445,0.428,0.411,0.398,0.381,0.361,0.340,0.314,0.278,0.247,0.231,0.217,0.201,0.174,0.137,0.113,0.098,0.076,0.048,0
W06000019,0.556,0.537,0.515,0.499,0.480,0.453,0.429,0.408,0.388,0.369,0.351,0.334,0.319,0.305,0.287,0.262,0.241,0.229,0.220,0.208,0.178,0.137,0.114,0.098,0.074,0.047,0
W06000020,0.665,0.652,0.633,0.619,0.602,0.579,0.562,0.547,0.532,0.516,0.500,0.483,0.464,0.448,0.427,0.391,0.356,0.336,0.315,0.290,0.252,0.201,0.166,0.141,0.108,0.069,0
W06000021,0.662,0.646,0.625,0.609,0.591,0.566,0.545,0.526,0.508,0.491,0.474,0.455,0.434,0.413,0.378,0.333,0.299,0.282,0.265,0.246,0.219,0.174,0.141,0.122,0.093,0.061,0
W06000022,0.659,0.647,0.631,0.618,0.601,0.580,0.560,0.540,0.518,0.497,0.479,0.464,0.450,0.436,0.419,0.388,0.357,0.339,0.317,0.294,0.258,0.213,0.187,0.163,0.127,0.086,0
W06000023,0.713,0.699,0.678,0.657,0.639,0.616,0.590,0.569,0.549,0.530,0.514,0.498,0.481,0.465,0.436,0.392,0.360,0.343,0.328,0.310,0.263,0.195,0.159,0.139,0.105,0.065,0
W06000024,0.535,0.521,0.501,0.486,0.466,0.439,0.416,0.397,0.380,0.363,0.348,0.330,0.311,0.290,0.265,0.232,0.206,0.192,0.176,0.160,0.139,0.112,0.098,0.084,0.062,0.039,0
