area,chn1997,chn1998,chn1999,chn2000,chn2001,chn2002,chn2003,chn2004,chn2005,chn2006,chn2007,chn2008,chn2009,chn2010,chn2011,chn2012,chn2013,chn2014,chn2015,chn2016,chn2017,chn2018,chn2019,chn2020,chn2021,chn2022,chn2023
E07000170,0.630,0.616,0.596,0.582,0.565,0.541,0.522,0.505,0.489,0.473,0.458,0.439,0.415,0.388,0.357,0.322,0.293,0.276,0.257,0.238,0.209,0.168,0.139,0.122,0.096,0.063,0
E07000171,0.787,0.777,0.762,0.751,0.739,0.720,0.703,0.686,0.669,0.650,0.633,0.615,0.594,0.574,0.550,0.516,0.482,0.459,0.434,0.408,0.359,0.287,0.242,0.215,0.171,0.112,0
E07000172,0.612,0.597,0.578,0.565,0.547,0.521,0.501,0.483,0.465,0.446,0.430,0.414,0.391,0.367,0.344,0.315,0.292,0.278,0.260,0.242,0.215,0.178,0.156,0.140,0.112,0.074,0
E07000173,0.616,0.601,0.582,0.569,0.550,0.522,0.499,0.479,0.458,0.434,0.410,0.390,0.370,0.350,0.328,0.299,0.273,0.258,0.243,0.227,0.201,0.165,0.141,0.125,0.098,0.063,0
E07000174,0.647,0.633,0.615,0.601,0.585,0.562,0.542,0.522,0.505,0.489,0.474,0.457,0.437,0.415,0.388,0.359,0.333,0.317,0.298,0.278,0.242,0.196,0.171,0.150,0.116,0.075,0
E07000175,0.694,0.683,0.666,0.652,0.635,0.615,0.597,0.582,0.566,0.549,0.535,0.517,0.496,0.479,0.462,0.425,0.388,0.370,0.351,0.334,0.299,0.243,0.204,0.180,0.140,0.090,0
E07000176,0.658,0.644,0.623,0.607,0.590,0.567,0.547,0.530,0.513,0.494,0.477,0.461,0.441,0.425,0.408,0.374,0.339,0.320,0.303,0.287,0.254,0.210,0.182,0.162,0.129,0.085,0
E07000177,0.866,0.783,0.711,0.678,0.651,0.624,0.603,0.586,0.569,0.551,0.536,0.519,0.500,0.483,0.459,0.424,0.396,0.382,0.363,0.343,0.309,0.255,0.217,0.192,0.148,0.094,0
E07000178,0.863,0.774,0.733,0.714,0.697,0.677,0.659,0.640,0.620,0.599,0.578,0.558,0.538,0.519,0.496,0.465,0.438,0.422,0.403,0.383,0.348,0.296,0.262,0.238,0.192,0.129,0
E07000179,0.767,0.720,0.690,0.673,0.656,0.634,0.616,0.598,0.580,0.560,0.542,0.522,0.498,0.478,0.459,0.423,0.384,0.365,0.347,0.331,0.297,0.244,0.208,0.183,0.143,0.092,0
E07000180,0.710,0.688,0.669,0.657,0.643,0.623,0.606,0.589,0.571,0.550,0.533,0.516,0.497,0.481,0.463,0.431,0.400,0.383,0.367,0.352,0.317,0.261,0.222,0.196,0.156,0.102,0
E07000181,0.922,0.869,0.793,0.708,0.663,0.632,0.610,0.589,0.570,0.550,0.533,0.515,0.495,0.477,0.457,0.420,0.383,0.365,0.348,0.332,0.296,0.242,0.207,0.183,0.144,0.094,0
E07000187,0.695,0.681,0.661,0.641,0.617,0.592,0.573,0.556,0.539,0.521,0.504,0.486,0.467,0.446,0.418,0.380,0.349,0.333,0.314,0.295,0.254,0.200,0.171,0.149,0.113,0.071,0
E07000188,0.710,0.698,0.679,0.664,0.646,0.624,0.605,0.588,0.570,0.549,0.531,0.511,0.487,0.462,0.430,0.389,0.356,0.337,0.318,0.299,0.261,0.212,0.185,0.160,0.121,0.078,0
E07000189,0.725,0.711,0.694,0.679,0.661,0.641,0.624,0.608,0.590,0.569,0.550,0.530,0.507,0.481,0.447,0.408,0.378,0.361,0.340,0.318,0.276,0.214,0.174,0.148,0.111,0.070,0
E07000192,0.663,0.651,0.633,0.607,0.572,0.541,0.520,0.502,0.485,0.466,0.448,0.431,0.411,0.390,0.365,0.336,0.311,0.298,0.282,0.267,0.238,0.192,0.161,0.139,0.107,0.069,0
E07000193,0.713,0.702,0.685,0.672,0.657,0.637,0.619,0.602,0.583,0.564,0.545,0.527,0.511,0.495,0.477,0.449,0.423,0.405,0.388,0.373,0.342,0.288,0.251,0.220,0.168,0.109,0
E07000194,0.661,0.649,0.633,0.612,0.585,0.559,0.538,0.518,0.501,0.483,0.467,0.450,0.433,0.414,0.390,0.359,0.333,0.317,0.301,0.283,0.244,0.189,0.158,0.140,0.109,0.070,0
E07000195,0.780,0.644,0.584,0.556,0.534,0.510,0.490,0.472,0.455,0.438,0.423,0.406,0.382,0.356,0.330,0.298,0.272,0.258,0.242,0.225,0.198,0.160,0.138,0.123,0.097,0.064,0
E07000196,0.619,0.588,0.564,0.546,0.524,0.496,0.475,0.457,0.439,0.420,0.402,0.385,0.367,0.351,0.334,0.304,0.274,0.258,0.243,0.229,0.208,0.166,0.131,0.111,0.083,0.052,0
E07000197,0.782,0.688,0.644,0.621,0.611,0.590,0.560,0.538,0.520,0.503,0.489,0.472,0.453,0.435,0.410,0.379,0.355,0.340,0.323,0.306,0.265,0.201,0.162,0.141,0.111,0.074,0
E07000198,0.673,0.609,0.572,0.549,0.527,0.499,0.475,0.454,0.435,0.416,0.400,0.384,0.367,0.348,0.324,0.294,0.270,0.256,0.242,0.227,0.196,0.151,0.123,0.106,0.079,0.048,0
E07000199,0.621,0.604,0.583,0.567,0.548,0.521,0.499,0.480,0.462,0.443,0.424,0.406,0.387,0.368,0.342,0.312,0.289,0.276,0.262,0.248,0.222,0.182,0.152,0.132,0.102,0.066,0
E07000200,0.665,0.653,0.635,0.620,0.601,0.579,0.561,0.545,0.529,0.512,0.496,0.479,0.459,0.435,0.406,0.374,0.348,0.333,0.318,0.303,0.268,0.215,0.182,0.161,0.127,0.084,0
E07000202,0.663,0.650,0.632,0.620,0.603,0.578,0.556,0.538,0.520,0.500,0.483,0.464,0.444,0.422,0.400,0.369,0.339,0.322,0.303,0.281,0.248,0.202,0.172,0.152,0.121,0.081,0
E07000203,0.719,0.705,0.687,0.672,0.654,0.631,0.612,0.593,0.574,0.554,0.538,0.520,0.500,0.483,0.464,0.428,0.391,0.373,0.358,0.342,0.295,0.225,0.187,0.165,0.130,0.085,0
E07000207,0.731,0.717,0.699,0.687,0.673,0.653,0.634,0.615,0.595,0.574,0.555,0.538,0.519,0.496,0.469,0.436,0.407,0.390,0.370,0.350,0.317,0.271,0.237,0.209,0.164,0.106,0
E07000208,0.697,0.682,0.663,0.648,0.627,0.599,0.577,0.555,0.533,0.510,0.491,0.473,0.452,0.435,0.418,0.380,0.341,0.321,0.302,0.285,0.258,0.215,0.185,0.164,0.126,0.080,0
E07000209,0.695,0.682,0.665,0.652,0.634,0.611,0.590,0.569,0.549,0.530,0.515,0.500,0.482,0.460,0.433,0.400,0.372,0.358,0.342,0.325,0.294,0.248,0.217,0.197,0.161,0.109,0
E07000210,0.710,0.696,0.679,0.666,0.647,0.622,0.601,0.582,0.563,0.541,0.521,0.502,0.480,0.460,0.440,0.407,0.372,0.353,0.333,0.313,0.275,0.219,0.183,0.161,0.126,0.082,0
